url,error,asin,product_name,price,image_url,description,rating_overall,review_count,specs_text,reviews_json
https://www.amazon.in/s?k=Dixcy+Scott+Men%E2%80%99s+White+Vest+Modern+Fit+Innerwear+%28Pack+of+3%29,No product found,,,,,,,,,
https://www.amazon.in/EURO-Cotton-Brief-Colors-Assorted_Medium_85CM/dp/B01N6WKIVC/ref=sr_1_1?dib=eyJ2IjoiMSJ9.9MF-D-sJ1x86z1yqEVb5ZjQeB4Vtc82EG1_E5IIOn-K2sUSdSa7sftqRP49UAAxNpky1men9Zx6OfGrFUb6Srvd5K1Cis0fMaugSjykNcOfT13i5iUxM3RYku-jVLEix52mSfkwtQn7RFvipQ0oK6GSMA9P_sXLMAknxt6P0cV9vf2JMzMI31pja7ep6ULkgBGcMQFD93eklgdj1bbL2VF-unlVuukVWpXD_ZcMLkV7-ykJAM2fdgJPw_qRG-kyg0ATzSihKEZlq6YbS2vjxN4OZnrp2AIN9QK0pQolOmrk.iO__L-DkeLNXxXjklVgAplDemrxtLFFkhlnV9XCfOqU&dib_tag=se&keywords=Euro+Men%27s+Cotton+Brief+%28Pack+of+5%29+%28Colors+May+Vary%29&nsdOptOutParam=true&qid=1771393815&sr=8-1,,B01N6WKIVC,EURO Men's Cotton Brief (Pack of 5) (Colors May Vary),$420.00,https://m.media-amazon.com/images/I/413BkenURcL._SX342_SY445_QL70_ML2_.jpg,,3.9 out of 5 stars,"(14,356)",,[]
https://www.amazon.in/realme-Smartphone-Storage-TransSilver-10001mAh/dp/B0GM1BDLHH/ref=sr_1_1?dib=eyJ2IjoiMSJ9.BPHYntzFmbGBA93C3anfhy6Ei2Hw6Zk4CJPOb6g2Sy7rTwFJYzahBTt5F9O5TFTDIbU-t-3C3oMjgzqWz8aYOlVsQf8CUJR7tVlu5LZC3fjQsBEswtPKxX00uJlLIYXJix_eBg59NCMlPh_Is9P8tQXupSiEtsWQnDmMRqc9Ilr-dIUbnK7tDAS2WxqATwLU8npxo3wRaov_GPtMo8G9LyhjIf6MubDxS1hhai53QAQ.4GPsMP_5oRkrqx1RvEmBEfgXEF5Nkfoy6cLY_4DdIGY&dib_tag=se&keywords=Redmi+10+Power+%28Power+Black%2C+8GB+RAM%2C+128GB+Storage%29&nsdOptOutParam=true&qid=1771393824&sr=8-1,,B0GM1BDLHH,"realme P4 Power 5G Smartphone, 8GB RAM, 128GB Storage, TransSilver, 10001mAh Battery","$25,705.00",https://m.media-amazon.com/images/I/41aj5vbvvIL._SY300_SX300_QL70_ML2_.jpg,"Sleek Transsilver Design: Stylish and modern finish that gives the phone a premium, eye-catching look. | 8GB RAM Performance: Smooth multitasking, faster app switching, and reliable performance for gaming and streaming. | 128GB Storage: Ample space for photos, videos, apps, and important files without constant cleanup | Long-Lasting Battery: Built to keep up with your day, from work tasks to entertainment. | Vibrant Display & Clear Camera: Sharp visuals for viewing and detailed photos to capture everyday moments effortlessly.",Previous page,,"OS	‎Android
Product Dimensions	‎16.23 x 7.61 x 0.91 cm; 190 g
Batteries	‎1 12V batteries required.
Item model number	‎RMX5107
Connectivity technologies	‎5g
GPS	‎Yes
Special features	‎Dual SIM
Other display features	‎Wireless
Device interface - primary	‎Touchscreen
Resolution	‎4500 Nits Peak Brightness
Other camera features	‎Sony 50 MP IMX882 OIS Camera
Audio Jack	‎3.5 Millimeter
Form factor	‎Slate
Colour	‎TransSilver
Battery Power Rating	‎10001
Phone Talk Time	‎24 Hours
Whats in the box	‎Smartphone
Manufacturer	‎realme
Item Weight	‎190 g
ASIN	B0GM1BDLHH
Best Sellers Rank	#18,436 in Electronics (See Top 100 in Electronics)#430 inSmartphones
Date First Available	6 February 2026
Manufacturer	realme
Packer	Oppo Mobiles India Private Limited 5th Floor , Tower - B , Building No. 8 , DLF Cyber City , Gurugram , Haryana - 122002 , India
Item Dimensions LxWxH	16.2 x 7.6 x 0.9 Centimeters
Net Quantity	1 Piece
Generic Name	Smartphone",[]
https://www.amazon.in/iQOO-Titanium-Dimensity-Processor-Shock-Resistance/dp/B0FC5TDB9P/ref=sr_1_1?dib=eyJ2IjoiMSJ9.fsUnhqi1Ta8cgH_p2mv-0N1zVNI8Ty7ZPL3EgAtHRWgi3o2ARDVfGS43wvXWaZmWzT4sTAfx1fFg9kGbS-0ZFsAXO8G0PfJmY64WCnxWckOpdszZiAmYNtevQ0WaKWx7sbM7FiFAduqslqXJwYLG2DFH27MCYwBy8cEbkBrkU90t8CC8wufXXcU6vrsBNrANCwY2eiWM32WiiOhuqFJIrEQGYpDz9vV3mF1xIyh-W40.HY8PtvaDxt_LPGmPRZG50ClCgBVYPeHbRUzx8xUAxJk&dib_tag=se&keywords=OnePlus+Nord+CE+2+Lite+5G+%28Blue+Tide%2C+6GB+RAM%2C+128GB+Storage%29&nsdOptOutParam=true&qid=1771393834&sr=8-1,,B0FC5TDB9P,"iQOO Z10 Lite 5G (Titanium Blue, 6GB RAM, 128GB Storage) | 6000 mAh Battery | Dimensity 6300 5G Processor with 433K+* AnTuTu Score | IP64 Rated & Military Grade Shock-Resistance*","$12,998.00",https://m.media-amazon.com/images/I/41fEpZN2MUL._SY300_SX300_QL70_ML2_.jpg,"Segment's biggest battery 5G smartphone* - Powered by a massive 6000mAh battery & 15W FlashCharge, keeping you ahead of the day with uninterrupted energy for entertainment, work, and everything in between | Dimensity 6300 5G Processor with 433K+* AnTuTu Score - A highly power efficient 6nm chip with CPU speeds upgraded to reach 2.4 GHz delivering a lag-free everyday experience with low power consumption. | IP64 Rated & Military Grade Shock-Resistance* - Fearless against the dust, rain, Forging Ahead. No need to worry about unexpected splashes in life with IP64 protection. Also, enjoy Protection from accidental drops from pockets or desks with Military grade shock resistance. | 50MP Sony AI Camera - Snap stunning photos with advanced AI features like AI erase, AI Photo enhance, AI document mode & many more. | 1000 nits High Brightness Display - Enjoy the ultimate viewing experience with 6.74"" (17.13 cm) Large display, 90Hz Refresh Rate & 1000 nits High brightness mode",4.1 out of 5 stars,"(5,785)","OS	‎Funtouch OS 15 Based On Android 15
Product Dimensions	‎16.7 x 7.7 x 0.8 cm; 202 g
Batteries	‎1 Lithium Ion batteries required. (included)
Item model number	‎I2409
Connectivity technologies	‎Bluetooth 5.4, USB 2.0, Wi-Fi
GPS	‎True
Special features	‎Dual SIM, Expandable Memory, Water Resistant
Other display features	‎Wireless
Resolution	‎720 x 1600
Audio Jack	‎Type C
Form factor	‎Bar
Colour	‎Titanium Blue
Battery Power Rating	‎6000
Phone Talk Time	‎46.6 Hours
Whats in the box	‎Cell phone, Charger, USB cable, Eject tool, Quick start guide, Warranty card, Phone case
Manufacturer	‎vivo Mobile India Private Limited.
Country of Origin	‎India
Item Weight	‎202 g
ASIN	B0FC5TDB9P
Customer Reviews	4.14.1 out of 5 stars(5,785)4.1 out of 5 stars
Best Sellers Rank	#5 in Electronics (See Top 100 in Electronics)#2 inSmartphones
Date First Available	10 June 2025
Manufacturer	vivo Mobile India Private Limited., vivo Mobile India Pvt Ltd, Plot No 08, Sector 24, Yamuna Expressway Area, Gautam Buddha Nagar, Uttar Pradesh, 201310
Packer	vivo Mobile India Pvt Ltd, Plot No 08, Sector 24, Yamuna Expressway Area, Gautam Buddha Nagar, Uttar Pradesh, 201310
Importer	vivo Mobile India Pvt Ltd, Plot No 08, Sector 24, Yamuna Expressway Area, Gautam Buddha Nagar, Uttar Pradesh, 201310
Item Dimensions LxWxH	16.7 x 7.7 x 0.8 Centimeters
Net Quantity	1 Count
Generic Name	Smartphone",[]
https://www.amazon.in/Oneplus-Bluetooth-Wireless-Earphones-Bombastic/dp/B09TVVGXWS/ref=sr_1_1?dib=eyJ2IjoiMSJ9.ihAHMPKq0EqSxJZMMKC8jQe80ZRJwbRyfRY7hTpaP8ba00JJIED3iJ4_qw-FXK0ZKNY1I59zKvdjeUmGBU8nTDI9bGQE4-VftRo6rblFW27www9-gFl3zyBvgKITLnbHIn0qXkyhkTwIw8cKlST9bBeUNki-T4pg860mM-rNp0Day3D2BA4gGvM9iiA4-48-XBIs0E-Q8Wv_uSvJK--Pm4ZL1p1j_KUGYCxdVVQLavg.ETI8HQeS8FOaATR4lc6wnAwEUkDRvMtVGegBLO4GexQ&dib_tag=se&keywords=OnePlus+Bullets+Z2+Bluetooth+Wireless+in+Ear+Earphones+with+Mic%2C+Bombastic+Bass+-+12.4+Mm+Drivers%2C+10+Mins+Charge+-+20+Hrs...&nsdOptOutParam=true&qid=1771393844&sr=8-1,,B09TVVGXWS,"OnePlus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 Mm Drivers, 10 Mins Charge - 20 Hrs Music, 30 Hrs Battery Life (Magico Black)","$1,399.00",https://m.media-amazon.com/images/I/31pAe23ncfL._SY300_SX300_QL70_ML2_.jpg,"A quick 10-minute charge delivers up to 20 hours of immersive audio playback. | The flagship-level battery life delivers up to 30 hours of non-stop music on a single charge. | A large 12.4 mm bass driver delivers uncompromisingly deep bass for powerful beats. Experience incredibly rich audio detail at every frequency with the titanium coating dome | Anti-distortion audio technology ensures your audio playtime stays silky-smooth. Thanks to the larger sound cavity and industry-leading algorithms, notes remain distortion-free | Water and sweat-resistant, the IP55-rated internals and design ensure your OnePlus Bullets Wireless Z2 stay all-weather ready.",4.1 out of 5 stars,"(223,516)","Noise Control	‎Sound Isolation
Frequency Response	‎20 KHz
Sensitivity	‎117 dB
Headphones Jack	‎wireless
Model Name	‎BWZ
Connectivity Technology	‎Bluetooth V5, Wireless
Wireless Communication Technology	‎Bluetooth
Included Components	‎1N Red Cable Club Welcome card, 1N Safety & warranty card, A pair of S, M, L earmuffs each., Charging cable with Type-C interface.
Age Range (Description)	‎Adult
Material	‎Silicone
Specific Uses For Product	‎Music
Charging Time	‎25 Minutes
Recommended Uses For Product	‎Calling, Gaming, Music and Etc.
Compatible Devices	‎All
Control Type	‎Call Control
Cable Feature	‎Without Cable
Item Weight	‎27 Grams
Water Resistance Level	‎Water Resistant
Style	‎BWZ 2
Control Method	‎Touch
Number of Items	‎1
Battery Life	‎30 Hours
Audio Driver Type	‎Dynamic Driver
Bluetooth Range	‎10 Metres
Bluetooth Version	‎5
Audio Driver Size	‎12.4 Millimetres
Earpiece Shape	‎in ear
Hardware Interface	‎Bluetooth 5
Input Device Interface	‎Bluetooth
Noise Control Features	‎sound_isolation
Generation	‎2
Supports Bluetooth Technology	‎Yes
Special Feature	‎Fast Charging, Microphone Included, Sweatproof
Global Trade Identification Number	‎06921815620396
Manufacturer	‎JIANGXI RISOUND ELECTRONICS CO., LTD. NO.271,INNOVATION AVENUE, JINGGANG SHAN ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE, JI'NA CITY, JIANGXI PROVINCE, CHINA, JIANZXI RISOUND ELECTRONICS CO. LTD.
Product Dimensions	‎37.5 x 11 x 2.5 cm; 27 g
Batteries	‎1 Lithium Polymer batteries required. (included)
Item model number	‎E305A
Special features	‎Fast Charging, Microphone Included, Sweatproof
Other display features	‎Wireless
Form factor	‎In ear
Manufacturer	‎JIANZXI RISOUND ELECTRONICS CO. LTD.
Country of Origin	‎China
Item Weight	‎27 g
ASIN	B09TVVGXWS
Customer Reviews	4.14.1 out of 5 stars(223,516)4.1 out of 5 stars
Best Sellers Rank	#2 in Electronics (See Top 100 in Electronics)#1 inIn-Ear Headphones
Date First Available	5 April 2022
Manufacturer	JIANGXI RISOUND ELECTRONICS CO., LTD. NO.271,INNOVATION AVENUE, JINGGANG SHAN ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE, JI'NA CITY, JIANGXI PROVINCE, CHINA, JIANZXI RISOUND ELECTRONICS CO. LTD.
Packer	JIANGXI RISOUND ELECTRONICS CO., LTD. NO.271,INNOVATION AVENUE, JINGGANG SHAN ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE, JI'NA CITY, JIANGXI PROVINCE, CHINA
Importer	MOBITECH CREATION PRIVATE LIMITED, DTJ 308, 3RD FLOOR, DLF JASOLA TOWER B, PLOT NO# 11, DDA DIST CENTRE JASOLA NEW DELHI - 110025
Item Dimensions LxWxH	37.5 x 11 x 2.5 Centimeters
Net Quantity	1 Count
Generic Name	In-ear Earphone",[]
https://www.amazon.in/Samsung-Smartphone-Storage-Refresh-Upgrades/dp/B0GHWSHPP7/ref=sr_1_1?dib=eyJ2IjoiMSJ9.ih5GpjQ_kAz4VKxye4ycxdgzgvOEimvpIkZi60pRrRrPTMj9dkVrPRhJBS5PgTlE01IM8DO51rbVoca-car2vmHLx1QeQUr43_7qg2haX_1GWYaCh_kx55gZ8yXu7dBThfghQ4XsdtFZTHyglUsGCltcli0YGGX7u4UUJp9yJ9oir17QpAFBj6f3qL3WUScGynz7DDclioumjksIAgYG8KpvuyaR02ls1jALLVHFkzs.BlWoKaEnNIkMbbldiT-hLl32U5vVWzSFnoOis4ZJ9FA&dib_tag=se&keywords=Samsung+Galaxy+M33+5G+%28Mystique+Green%2C+6GB%2C+128GB+Storage%29+%7C+6000mAh+Battery+%7C+Upto+12GB+RAM+with+RAM+Plus+%7C+Travel+Adapte...&nsdOptOutParam=true&qid=1771393851&sr=8-1,,B0GHWSHPP7,"Samsung Galaxy A07 5G Smartphone (Light Violet, 6GB RAM, 128GB Storage) | 120Hz Refresh Rate | Massive 6000mAh Battery | 50MP True Dual Camera | 6 Gen OS Upgrades | Knox Vault","$17,999.00",https://m.media-amazon.com/images/I/41nEKRY6o-L._SY300_SX300_QL70_ML2_.jpg,"More Entertainment with best-in-class Display - 6.7 Inch Immersive Display with 120Hz Refresh Rate and 800 nits of HBM brightness | More Reliable with massive 6000mAh battery that is long-lasting and built for heavy usage. | More Memories with best-in-class Dual Camera - 50MP Main Camera with 2MP Depth Camera creates realistic portraits. Additionally, it has 8 MP Front camera giving you high resolution selfies and video calls. | More Trust with Samsung Knox Vault (EAL5+ certified), that gives security and protect your private information. 6 generations of OS and Security Updates give longer life to the smartphone. | More productivity with Gemini Live, Circle to Search and Cross App integration",4 out of 5 stars,(2),"OS	‎Android 16.0
Product Dimensions	‎0.82 x 7.74 x 16.74 cm; 199 g
Item model number	‎SM-A076B
Connectivity technologies	‎Bluetooth, USB, Wi-Fi
GPS	‎True
Special features	‎Built-In GPS, Dual SIM, Expandable Memory, Mobile Hotspot Capability, Supports Usb Otg
Other display features	‎Wireless
Device interface - primary	‎Touchscreen
Resolution	‎720 x 1600
Other camera features	‎Front, Rear
Audio Jack	‎3.5 mm
Form factor	‎Bar
Colour	‎Light Violet
Battery Power Rating	‎6000 Milliamp Hours
Whats in the box	‎Data Cable (C to C), Quick Start Guide, SIM Ejection PIN, Smartphone
Manufacturer	‎Samsung
Country of Origin	‎India
Item Weight	‎199 g
ASIN	B0GHWSHPP7
Customer Reviews	4.04.0 out of 5 stars(2)4.0 out of 5 stars
Best Sellers Rank	#2,530 in Electronics (See Top 100 in Electronics)#135 inSmartphones
Date First Available	5 February 2026
Manufacturer	Dixon Technologies (India) Ltd., Plot No. 6, Sector-90, Noida, Gautam Buddha Nagar, U.P. India - 201305, Samsung
Packer	Dixon Technologies (India) Ltd., Plot No. 6, Sector-90, Noida, Gautam Buddha Nagar, U.P. India - 201305
Importer	Samsung India Electronics Pvt. Ltd. having its Registered Office at: 6th Floor, DLF Centre, Sansad Marg, New Delhi – 110001 Email us at: support.india@samsung.com
Item Dimensions LxWxH	8 x 77 x 167 Millimeters
Net Quantity	1 Count
Generic Name	Smartphone",[]
https://www.amazon.in/Sparx-SM-439-White-Casual-Shoes/dp/B07Y5BKQ5R/ref=sr_1_1?dib=eyJ2IjoiMSJ9.EKYKIdHkBg8U32tytAvqOA0ak2G1HF4uyOMa4BGHpWsAL1n8spCsAUKpcmHs5JFU2Kz9vKXVYzcNEcgxIizsaShUvhS_N9sZuOhpi2A6FVUFmuWDCgBVeOo0Cu-3vwbkVfy04-AMJQFe1apH742mnUIFdH7--7YsSbZiwN6ltMC0oGCBVeHU8XsPBWC8baZ2SSHDyRL4DPB3SUb1Yqah3ruI1euvnCn6sZIulwQw49NEoWWKP2NyLsorAUjKjAFel7LgXJUdnHEJS0xJMEbGlNtaEAOutZCrnfK-vnfOqUc.AyNtssYdXYQnZT6Fhdk1nGPm7l0YVDzcYUI6V8DB0Lc&dib_tag=se&keywords=Sparx+mens+Sd9039g+Sneakers&qid=1771393859&sr=8-1,,B07Y5BKQ5R,SPARX Men's Sneaker,$665.00,https://m.media-amazon.com/images/I/31x8oyJlKOL._SX395_SY395_QL70_ML2_.jpg,,4.2 out of 5 stars,"(16,903)",,[]
https://www.amazon.in/Sparx-Mens-White-Sneakers-SD0439G_WHWH0010/dp/B07Y4Y3DGB/ref=sr_1_1?dib=eyJ2IjoiMSJ9.xpxVObZrY75kSNm_8eOTe0VQlhm3_WS9-HbwA2OPzhmxewGM88uTfndCs2onmK3kkKadnX3_nuaW3JPcUF6abnCqsE0RpwlrLFG8Hpum9GHzw0zdm8nF6dwfGmWdc532RB77shn7O9TUODdERHDvwfGukf5fra4cY_vPeM0OJoDly_tyij8Vhpekg2GHNO215fiy8HThUKoZMZCWxD0yElWPP54ttAPCNNab7yunOZTb-oSFUj_XAc1SR78IX6409tmt_FluVX_mIeSIsGaqLWaSl7WpW5-BkMR5hkzAE44.YtTO_brCfZbEM-2Me_ZHFQMttQBSPWd61V22hvdyoeE&dib_tag=se&keywords=Sparx+Mens+Sm-439+Sneaker&qid=1771393869&sr=8-1,,B07Y4Y3DGB,SPARX Men's Sneaker,$665.00,https://m.media-amazon.com/images/I/31x8oyJlKOL._SX395_SY395_QL70_ML2_.jpg,,4.2 out of 5 stars,"(16,903)",,[]
https://www.amazon.in/crocs-Unisex-Adult-Bayaband-205089-0GX/dp/B09773K4T3/ref=sr_1_1?dib=eyJ2IjoiMSJ9.7XSWb2BvDoUM7OnIVgsv2VM4M7du-RtyxhKunMGnx_7rP5U4sbS1h-JMVlcx-5dbX-xZXaOqnK0ro1TtJw8yURhiDXfBdtCAoJ49h8nCaGKJsjaX9Iv1DhsrCX1Qa-u4oJKAUsqRXmw4-JLMAEX8DM6cM8P7KfVkDlSmWVATQ5g4UKcwqHlYDvy_9n0w5nQU0C7fwyjDY7MxjtM2WsNh1kNQXR3ozGs8SetwWrmKajq6MLqOvtiwaU-LgztALN2uzNqhcXLQxJtkBF9s3KMeOnCtFJbLT9UzkKu1_z5Y0HA.teXf37IawwAi_ooStfgVYeawQLSG4ODxMpI_GBEXylg&dib_tag=se&keywords=crocs+Unisex+Adult+Slate+Grey%2FLime+Punch+Bayaband+Clog+205089-0GX+M8W10&nsdOptOutParam=true&qid=1771393877&sr=8-1,,B09773K4T3,Crocs Unisex Adult Bayaband Sport Band Clog,"$4,196.00",https://m.media-amazon.com/images/I/31EnXWNf5kL._SX395_SY395_QL70_ML2_.jpg,,4.2 out of 5 stars,"(28,841)",,[]
https://www.amazon.in/crocs-Unisex-Adult-Bayaband-205089-0GX/dp/B09773K4T3/ref=sr_1_1?dib=eyJ2IjoiMSJ9.Lz56NgeRcm4kncpW-UFVxZEefW7--PjgqNUEZCVWFQa3IZWVkuHT9SUU7l-YcmvRBlNKKY2g6nWcDcsGvhm7baZUWryzFPr9EFsPeGfyFYwZtcTPQERw8nWyf51IrXxyVq7HBKcD3Sg3-90cZuzUTdvL2ATgiD99_gosTj750lJRyb72I_PFelDCV7SjfxEe6f1YP2__yOW4gv81Apre_c5M2v4GjNn9W9DxzT2tpTp_3S9TjXEI8ddzQWhEoI2ljbCYqUj4QbA5cAuc3aCOWSVXlTNiAgjXFZn7_dharA0.LOzWsrkyf7u_3rikDUDaAdU0LfEN2jbIpoOOb7amqZQ&dib_tag=se&keywords=crocs+Unisex+Adult+Slate+Grey%2FLime+Punch+Bayaband+Clog+205089-0GX+M9W11&nsdOptOutParam=true&qid=1771393884&sr=8-1,,B09773K4T3,Crocs Unisex Adult Bayaband Sport Band Clog,"$4,196.00",https://m.media-amazon.com/images/I/31EnXWNf5kL._SX395_SY395_QL70_ML2_.jpg,,4.2 out of 5 stars,"(28,841)",,[]
